bjd sind
39370.857 0.173873
39371.843 0.175041
39372.830 0.174457
39392.845 0.175236
39393.831 0.175918
39423.818 0.173386
39424.841 0.171925
39487.847 0.173288
39488.833 0.170464
39517.870 0.178547
39549.830 0.173970
39550.852 0.180690
39551.839 0.182735
39597.860 0.163355
39598.810 0.166569
39667.842 0.158680
39668.828 0.163452
39669.851 0.157219
39670.837 0.158096
39692.862 0.160043
39693.848 0.165400
39695.857 0.166374
39720.840 0.154784
39721.826 0.162868
39722.812 0.164816
39723.835 0.178158
39724.821 0.176892
39787.827 0.175139
39788.849 0.173581
39887.832 0.178937
40012.857 0.187312
40038.826 0.166471
40047.848 0.165984
40049.820 0.175723
40069.836 0.178742
40078.821 0.177087
40080.830 0.175139
40106.836 0.165595
40107.822 0.176794
40108.845 0.172509
40130.833 0.169393
40168.819 0.168322
40169.842 0.169782
40170.828 0.172899
40202.824 0.172412
40203.810 0.176502
40224.812 0.173288
40225.834 0.170464
40253.849 0.174554
40254.835 0.174360
40255.858 0.179619
40285.845 0.189747
40286.831 0.183806
40312.837 0.175139
40313.860 0.184293
40341.838 0.170756
40342.824 0.173970
40343.810 0.167055
40457.805 0.167348
40458.864 0.172509
40518.802 0.178645
40520.810 0.171341
40574.831 0.180203
40612.853 0.180495
40613.840 0.181079
40663.842 0.180495
40664.828 0.184878
40665.815 0.181079
40666.837 0.176210
40688.825 0.170172
40689.848 0.169003
40726.848 0.173386
40727.834 0.167737
40844.824 0.178547
41042.826 0.173970
41053.856 0.175626
41134.832 0.166569
41135.855 0.165205
41136.841 0.168711
41137.864 0.176989
42111.839 0.164036
42168.818 0.167932
42169.841 0.161504
42170.827 0.173483
42260.825 0.159946
42261.811 0.170269
42262.834 0.157511
42263.820 0.159362
42284.822 0.159557
42285.845 0.158290
42286.831 0.164816
42350.823 0.162965
42351.845 0.160530
42381.832 0.160336
42383.841 0.167153
42439.871 0.153129
42441.806 0.156537
42468.835 0.165789
42469.821 0.166082
42470.844 0.162381
42471.830 0.169588
42496.850 0.165789
42498.858 0.158388
42499.808 0.163257
42558.869 0.160336
42560.805 0.168029
42591.851 0.163452
42614.862 0.161894
42615.848 0.165595
42616.834 0.168322
42617.857 0.163257
42645.835 0.162089
42646.821 0.169003
