star,sp_type,Pcycle_yr,Pcycle_err,Acycle_mmag,Acycle_err,FAP_cyc,Prot_d,Prot_err,Arot_mmag,Arot_err,FAP_rot,Prot_lit_d,Prot_lit_err,Prot_lit_ref
HD 1388,G0,13.4,6.0,8.1,2.2,<0.1,,,,,,19.9,1.4,1
HD 1388,G0,,,,,,,,,,,19.7,2.8,4
HD 10180,G1,4.1,0.4,3.3,0.9,1.7,29.5,0.1,3.3,0.9,3.7,24.1,3.0,4
HD 21019,G2,,,,,,29.5,0.1,5.9,1.3,0.7,38.4,3.5,4
HD 2071,G2,11.2,3.6,4.9,1.3,<0.1,29.6,0.1,3.1,0.9,<0.1,22.8,0.7,1
HD 1320,G2,3.3,0.2,2.6,0.8,2.1,29.6,0.1,2.5,0.8,2.7,28.4,8.7,1
HD 63765,G9,12.9,4.9,3.9,0.9,<0.1,29.5,0.1,2.7,1.0,0.2,26.7,6.7,1
HD 82558,K0,2.5,0.1,13.6,1.1,0.3,1.6,0.1,28.7,0.9,<0.1,1.60,0.0,6
HD 155885,K1,6.2,0.1,36.9,1.0,<0.1,,,,,,21.1,2.1,7
HD 224789,K1,7.1,0.9,6.7,1.3,<0.1,16.6,0.1,6.8,1.2,<0.1,16.9,1.8,1
HD 224789,K1,,,,,,,,,,,11.8,4.7,4
V660 Tau,K2,7.1,0.2,31.7,1.5,<0.1,0.2,0.0,35.9,1.5,<0.1,0.23,0.02,8
HD 176986,K2.5,7.3,0.7,4.8,1.2,<0.1,,,,,,33.4,0.2,1
HD 176986,K2.5,,,,,,,,,,,39.0,5.3,4
HD 32147,K3,5.8,0.5,7.5,1.3,<0.1,,,,,,47.4,4.7,10
HD 45088,K3,7.0,0.1,14.2,1.2,<0.1,,,,,,7.4,0.7,9
HD 104067,K3,7.7,1.3,4.1,0.7,<0.1,27.4,0.1,2.8,0.7,5.0,29.8,3.1,1
HD 215152,K3,,,,,,29.8,0.1,2.4,1.1,3.0,36.5,1.6,1
HD 215152,K3,,,,,,,,,,,41.8,5.6,4
V410 Tau,K3,1.9,0.1,253.2,2.7,<0.1,,,,,,1.9,0.2,12
HD 131977,K4,5.1,0.2,34.5,1.8,<0.1,,,,,,,,
HD 125595,K4,5.9,0.6,4.1,0.9,<0.1,29.4,0.1,2.9,0.9,10.3,37.2,2.0,1
HD 118100,K5,9.3,0.4,17.3,1.1,<0.1,3.9,0.1,30.4,0.9,<0.1,,,
GJ9482,K7,10.1,1.4,6.9,0.9,<0.1,,,,,,,,
HD 113538,K9,6.6,0.6,4.9,0.9,<0.1,43.9,0.2,4.6,0.8,2.5,,,
GJ846,M0,8.5,1.1,7.3,1.2,<0.1,31.0,0.1,,,,,,1
GJ676A,M0,7.5,0.6,8.2,1.0,<0.1,41.2,3.8,,,,,,1
GJ229,M1,8.4,0.3,12.8,0.9,<0.1,27.3,0.1,2.9,0.9,11.4,,,
HD 197481,M1,7.6,0.4,14.4,1.7,<0.1,4.9,0.1,18.6,1.1,<0.1,,,
GJ514,M1,9.9,3.8,5.8,1.4,<0.1,28.0,2.9,,,,,,1
GJ239,M1,4.9,0.4,5.2,1.0,<0.1,,,,,,,,
GJ205,M1.5,10.8,1.1,9.3,0.8,<0.1,33.4,0.1,4.8,0.8,<0.1,35.0,0.1,1
GJ205,M1.5,3.9,0.3,6.9,1.4,<0.1,,,,,,,,
GJ832,M1.5,13.2,4.2,6.8,1.5,<0.1,45.7,9.3,,,,,,1
GJ536,M1.5,43.3,0.1,4.8,1.1,<0.1,43.8,0.1,,,,,,1
GJ382,M2,13.6,1.7,15.1,1.0,<0.1,21.2,0.1,5.7,0.9,<0.1,21.7,0.1,1
GJ382,M2,,,,,,,,,,,21.6,2.2,2
GJ588,M2.5,5.2,0.7,3.1,1.2,0.5,43.1,0.2,2.7,1.1,2.3,61.3,6.5,1
