Filename,Short (d),Short (yr),Mid (d),Mid (yr),Long (d),Long (yr)
hd10072_caii.txt,56.68,0.16,1516.69,4.15,,
hd10700_caii.txt,,,,,,
hd10780_caii.txt,148.66,0.41,2237.2,6.13,,
hd11131_caii.txt,,,981.96,2.69,,
hd12235_caii.txt,140.26,0.38,788.51,2.16,,
hd123_caii.txt,,,603.08,1.65,,
hd12953_caii.txt,86.24,0.24,1822.19,4.99,,
hd13043_caii.txt,,,,,,
hd13421_caii.txt,,,727.55,1.99,,
hd1388_caii.txt,,,495.41,1.36,,
hd1461_caii.txt,,,,,,
hd16160_caii.txt,57.04,0.16,4640.74,12.71,,
hd16673_caii.txt,,,2292.68,6.28,11631.27,31.84
hd166_caii.txt,,,,,,
hd17361_caii.txt,,,804.93,2.2,,
hd17925_caii.txt,,,2556.94,7.0,13654.12,37.38
hd18256_caii.txt,155.96,0.43,2120.4,5.81,13977.15,38.27
hd1835_caii.txt,7.77,0.02,3061.01,8.38,14693.65,40.23
hd19787_caii.txt,,,3955.27,10.83,,
hd20468_caii.txt,140.26,0.38,1295.86,3.55,,
hd20630_caii.txt,9.23,0.03,2022.21,5.54,17614.76,48.23
hd21552_caii.txt,,,3448.28,9.44,,
hd22049_caii.txt,192.46,0.53,1537.49,4.21,8293.69,22.71
hd22072_caii.txt,,,1786.06,4.89,10555.98,28.9
hd22211_caii.txt,,,,,,
hd23249_caii.txt,77.48,0.21,389.92,1.07,11519.58,31.54
hd2454_caii.txt,,,774.27,2.12,,
hd24555_caii.txt,,,695.43,1.9,,
hd25604_caii.txt,,,,,,
hd26722_caii.txt,,,,,,
hd26913_caii.txt,,,3876.06,10.61,,
hd26923_caii.txt,163.99,0.45,3505.95,9.6,,
hd26965_caii.txt,140.63,0.39,3718.38,10.18,,
hd27022_caii.txt,103.76,0.28,816.25,2.23,,
hd27348_caii.txt,132.23,0.36,2290.13,6.27,,
hd28307_caii.txt,,,412.92,1.13,,
hd29139_caii.txt,51.2,0.14,316.92,0.87,,
hd29317_caii.txt,111.43,0.31,4392.91,12.03,,
hd29645_caii.txt,,,5324.39,14.58,,
hd30495_caii.txt,,,1905.05,5.22,,
hd3229_caii.txt,,,624.62,1.71,15688.28,42.95
hd3421_caii.txt,,,,,,
hd3443_caii.txt,,,,,,
hd3546_caii.txt,,,,,,
hd3651_caii.txt,,,4853.54,13.29,10262.15,28.1
hd3795_caii.txt,,,393.21,1.08,,
hd4128_caii.txt,169.1,0.46,2163.11,5.92,,
hd4307_caii.txt,,,503.44,1.38,,
hd4628_caii.txt,195.38,0.53,3102.99,8.5,,
hd4628_Mt_wilson_data.txt,34.78,0.1,3102.99,8.5,,
hd6903_caii.txt,,,6089.44,16.67,,
hd6920_caii.txt,99.75,0.27,5755.83,15.76,,
hd7924_caii.txt,,,578.26,1.58,,
hd8491_caii.txt,,,,,,
hd9562_caii.txt,,,,,,
sol_sind_all.txt,149.39,0.41,3817.3,10.45,13545.71,37.09
sol_sind_subset1_3.txt,,,3663.27,10.03,,
